name,ring,quadrant,status,description
GitHub Copilot,adopt,tools,no change,"<p><strong>GitHub Copilot</strong> has matured significantly since its introduction and is now a staple in many development teams. It provides AI-powered code suggestions directly in your IDE, dramatically reducing boilerplate code and accelerating development velocity.</p><p>Our teams report 30-40% productivity improvements for routine coding tasks. The recent addition of Copilot Chat brings conversational AI directly into the development workflow, allowing developers to ask questions about codebases and get contextual help.</p><p>We recommend establishing team guidelines around code review for AI-generated code and being mindful of licensing implications for training data. For enterprise adoption, GitHub Copilot Business provides additional security controls and policy management.</p><p><a href=""#"">Read more about AI-Assisted Development Guidelines →</a></p>"
Docker,adopt,tools,no change,"<p><strong>Docker</strong> remains the foundational container platform that transformed how we build, ship, and run applications. Its ubiquity across development and production environments makes it an essential skill for modern software teams.</p><p>While Kubernetes dominates orchestration, Docker's role in local development, CI/CD pipelines, and as the underlying container runtime continues to be critical. Docker Compose remains excellent for local multi-service development environments.</p><p>Recent improvements to Docker Desktop, including the integrated Kubernetes cluster and extensions marketplace, have strengthened its position as the go-to local development tool. Be aware of Docker Desktop licensing requirements for enterprise use.</p><p><a href=""#"">Read more about Container Strategy →</a></p>"
Kubernetes,adopt,tools,no change,"<p><strong>Kubernetes</strong> has become the de facto standard for container orchestration. Its declarative approach to infrastructure and rich ecosystem of tools make it the foundation for cloud-native architectures.</p><p>For most teams, we recommend using managed Kubernetes services (AKS, EKS, GKE) rather than self-managing clusters. The operational overhead of running your own control plane rarely provides sufficient value outside of specific compliance or sovereignty requirements.</p><p>Focus on building strong GitOps practices around Kubernetes deployments. Tools like ArgoCD and Flux provide excellent declarative deployment pipelines that improve reliability and auditability.</p><p><a href=""#"">Read more about Platform Architecture →</a></p>"
Terraform,adopt,tools,moved in,"<p><strong>Terraform</strong> has earned its place in Adopt after years of proven reliability across diverse infrastructure scenarios. Its declarative HCL syntax, extensive provider ecosystem, and state management capabilities make it the leading Infrastructure as Code tool.</p><p>The recent concerns around HashiCorp's licensing changes led to the creation of OpenTofu, which we're watching in Trial. However, Terraform's maturity, ecosystem, and HashiCorp's enterprise support still make it the safer choice for most organisations today.</p><p>We strongly recommend implementing remote state with locking (using S3+DynamoDB, Azure Storage, or Terraform Cloud), establishing module libraries for common patterns, and integrating plan output into pull request reviews.</p><p><a href=""#"">Read more about Infrastructure as Code Standards →</a></p>"
VS Code,adopt,tools,no change,"<p><strong>Visual Studio Code</strong> has become the dominant code editor across nearly all programming languages and platforms. Its extension ecosystem, integrated terminal, and excellent Git integration provide a complete development environment.</p><p>The addition of Remote Development capabilities (containers, SSH, WSL) has been transformative for teams needing consistent development environments. GitHub Codespaces builds on this foundation for cloud-based development.</p><p>We recommend establishing team-wide extension recommendations and settings sync to ensure consistent development experiences. The upcoming native AI features through Copilot integration will further cement VS Code's position.</p><p><a href=""#"">Read more about Developer Environment Setup →</a></p>"
Grafana,adopt,tools,no change,"<p><strong>Grafana</strong> continues to be our preferred visualisation platform for metrics and observability data. Its ability to query multiple data sources, create rich dashboards, and set up alerting makes it central to our monitoring strategy.</p><p>The Grafana stack (Loki for logs, Tempo for traces, Mimir for metrics) provides a compelling open-source alternative to commercial observability platforms. Grafana Cloud offers a managed option for teams wanting to reduce operational burden.</p><p>Focus on creating actionable dashboards rather than vanity metrics. Implement dashboard-as-code practices using Grafana's provisioning capabilities or tools like Grafonnet.</p><p><a href=""#"">Read more about Observability Strategy →</a></p>"
GitHub Actions,adopt,tools,no change,"<p><strong>GitHub Actions</strong> has become our default CI/CD platform for teams using GitHub. The tight integration with repositories, marketplace of reusable actions, and generous free tier for public repositories make it an excellent choice.</p><p>The workflow syntax is intuitive, and the ability to compose workflows from reusable actions accelerates pipeline development. Matrix builds simplify cross-platform and multi-version testing.</p><p>Be mindful of secrets management and use OIDC authentication for cloud provider access rather than long-lived credentials. Consider self-hosted runners for sensitive workloads or specialised hardware requirements.</p><p><a href=""#"">Read more about CI/CD Pipeline Patterns →</a></p>"
Playwright,adopt,tools,moved in,"<p><strong>Playwright</strong> has moved to Adopt based on consistently positive experiences across our teams. Microsoft's end-to-end testing framework offers excellent cross-browser support, auto-wait capabilities, and powerful debugging tools.</p><p>Compared to Cypress, Playwright provides true multi-browser testing (including Safari via WebKit), better iframe and multi-tab support, and can test across multiple browser contexts simultaneously. The API testing capabilities allow combining UI and API tests in a single framework.</p><p>The Playwright Test runner includes features like parallel execution, visual comparisons, and trace viewing that significantly improve test development and debugging. We recommend it as the default choice for new E2E testing initiatives.</p><p><a href=""#"">Read more about Testing Strategy →</a></p>"
Claude AI,trial,tools,new,"<p><strong>Claude</strong> from Anthropic represents a significant advancement in AI assistants for software development. Its strong reasoning capabilities, large context window (200K tokens), and nuanced understanding of code make it particularly effective for complex programming tasks.</p><p>We're using Claude for code review assistance, documentation generation, architecture discussions, and debugging complex issues. The Claude API enables integration into development workflows and custom tooling.</p><p>While still evaluating long-term reliability and comparing with alternatives like GPT-4 and Gemini, early results are promising. Consider establishing guidelines for appropriate use cases and data handling when using AI assistants.</p><p><a href=""#"">Read more about AI-Assisted Development Guidelines →</a></p>"
Cursor,trial,tools,new,"<p><strong>Cursor</strong> is an AI-first code editor built on VS Code that deeply integrates AI capabilities throughout the editing experience. It goes beyond simple code completion to offer contextual chat, codebase-wide understanding, and intelligent refactoring suggestions.</p><p>The ability to reference files and documentation in conversations, combined with the familiar VS Code interface, provides a compelling developer experience. Cursor's approach of understanding your entire codebase enables more relevant and accurate suggestions.</p><p>We're trialling Cursor alongside traditional VS Code + Copilot setups to evaluate the productivity benefits of deeper AI integration. Early feedback suggests significant benefits for understanding unfamiliar codebases and complex refactoring tasks.</p><p><a href=""#"">Read more about Developer Tooling Evaluation →</a></p>"
